# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
ben shen 	本身	c=156 d=1 t=745182
ben shen ma 	本身嗎	c=1 d=1 t=252661
ben shen you 	本身有	c=1 d=1 t=583384
ben shi 	本市	c=2 d=1 t=729289
ben shu 	本書	c=89 d=1 t=717809
ben shuang yue 	本雙月	c=1 d=1 t=339298
ben wen 	本文	c=1 d=1 t=89532
ben ye 	本頁	c=1 d=1 t=445183
ben yi 	本意	c=4 d=1 t=626232
ben yue di 	本月底	c=1 d=1 t=673788
ben zhi 	本質	c=31 d=1 t=740946
ben zhi shang 	本質上	c=29 d=1.00497 t=744811
ben zhong 	笨重	c=1 d=1 t=467144
ben zhou 	本週	c=100 d=1 t=737622
ben zhou liu 	本週六	c=1 d=1 t=583005
ben zhou ri 	本周日	c=1 d=1 t=284463
ben zhou si 	本週四	c=5 d=1 t=577242
ben zhou wu 	本週五	c=6 d=1.81873 t=734164
beng chu lai 	蹦出來	c=1 d=1 t=148684
beng kui 	崩潰	c=17 d=1 t=701794
beng ta 	崩塌	c=1 d=1 t=349413
bi 	斃	c=1 d=1 t=7680
bi 	比	c=223 d=1.00015 t=743698
bi 	筆	c=2 d=0.68607 t=574767
bi 	閉	c=1 d=1 t=284283
bi a 	比啊	c=1 d=1 t=573560
bi an 	彼岸	c=0 d=0.1 t=717332
bi an ni yao 	彼岸你要	c=1 d=1 t=717333
bi bao 	閉包	c=5 d=1 t=349584
bi bei 	必備	c=1 d=1 t=217363
bi bu ke shao 	必不可少	c=4 d=1.00015 t=677851
bi ci 	彼此	c=1 d=1 t=338286
bi da 	必答	c=0 d=0.1 t=271857
bi ding 	吡啶	c=1 d=1 t=341306
bi ding 	必定	c=1 d=1 t=341307
bi duan 	弊端	c=2 d=1 t=402964
bi dui 	比對	c=1 d=1 t=581062
bi eh suo 	比誒所	c=1 d=1 t=182538
bi er 	比爾	c=1 d=1 t=281116
bi fa 	筆法	c=2 d=1 t=439837
bi feng gang 	避風港	c=1 d=1 t=174427
bi fu 	比附	c=2 d=1 t=508032
bi guan 	閉關	c=0 d=0.1 t=338471
bi guan sha 	閉關啥	c=1 d=1 t=338472
bi hao 	敝號	c=5 d=1 t=456219
bi he 	閉合	c=2 d=1 t=650704
bi huan 	閉環	c=48 d=1 t=742752
bi hui 	避諱	c=1 d=1 t=238259
bi ji 	筆記	c=10 d=1 t=669050
bi ji ben 	筆記本	c=1 d=1 t=572560
bi ji da 	筆記大	c=1 d=1 t=629478
bi ji duo 	筆記多	c=2 d=1 t=260135
bi ji gao 	筆記高	c=2 d=1 t=35927
bi ji shao 	筆記少	c=2 d=1 t=538059
bi jian ren 	比肩人	c=1 d=1 t=484570
bi jiao 	比較	c=2362 d=1.60135 t=745298
bi jiao ao 	比較奧	c=2 d=0.1 t=320136
bi jiao ao di 	比較奧的	c=1 d=1 t=320137
bi jiao bai 	比較白	c=1 d=1 t=7005
bi jiao cha 	比較差	c=13 d=1 t=715575
bi jiao chang 	比較長	c=30 d=1 t=689827
bi jiao da 	比較大	c=247 d=1 t=741234
bi jiao dao 	比較到	c=1 d=1 t=693416
bi jiao di 	比較低	c=41 d=1 t=734066
bi jiao duan 	比較短	c=8 d=1 t=616508
bi jiao duo 	比較多	c=105 d=1 t=743892
bi jiao fang bian 	比較方便	c=1 d=1 t=159836
bi jiao fu he 	比較符合	c=1 d=1 t=238147
bi jiao gao 	比較高	c=107 d=1.71534 t=742624
bi jiao guai 	比較怪	c=1 d=1 t=154558
bi jiao guang 	比較廣	c=1 d=1 t=668663
bi jiao gui 	比較貴	c=1 d=1 t=546267
bi jiao hao 	比較好	c=281 d=1.81058 t=740574
bi jiao hao a 	比較好啊	c=1 d=1 t=228707
bi jiao jiu 	比較久	c=10 d=1.00601 t=579264
bi jiao kuai 	比較快	c=20 d=1 t=737477
bi jiao kun nan 	比較困難	c=1 d=1 t=708915
bi jiao lao 	比較老	c=9 d=1.0216 t=695730
bi jiao luan 	比較亂	c=6 d=1 t=538087
bi jiao ma fan 	比較麻煩	c=1 d=1 t=641051
bi jiao man 	比較慢	c=50 d=1 t=742562
bi jiao mang 	比較忙	c=8 d=1 t=655979
bi jiao nan 	比較難	c=4 d=1 t=568917
bi jiao qi guai 	比較奇怪	c=2 d=1 t=373574
bi jiao qiang 	比較強	c=40 d=1 t=679867
bi jiao rong 	比較榮	c=1 d=1 t=484571
bi jiao ruo 	比較弱	c=1 d=1 t=508520
bi jiao shao 	比較少	c=60 d=1 t=733998
bi jiao shen 	比較深	c=5 d=1 t=422747
bi jiao shou xian 	比較受限	c=1 d=1 t=737216
bi jiao shuang 	比較爽	c=1 d=1 t=317022
bi jiao shun li 	比較順利	c=1 d=1 t=105967
bi jiao wan 	比較晚	c=9 d=1 t=645497
bi jiao xiang 	比較香	c=1 d=1 t=59149
bi jiao xiao 	比較小	c=12 d=1 t=575557
bi jiao xiao zhong 	比較小衆	c=1 d=1 t=666266
bi jiao xin 	比較新	c=1 d=1 t=150812
bi jiao xu 	比較虛	c=1 d=1 t=219777
bi jiao za 	比較雜	c=1 d=1 t=36293
bi jiao zan 	比較讚	c=1 d=1 t=109898
bi jiao zao 	比較早	c=7 d=1 t=579650
bi jiao zhai 	比較窄	c=2 d=1 t=186175
bi jing 	畢竟	c=43 d=1 t=709656
bi jing shi 	畢竟是	c=1 d=1 t=599130
bi juan kao 	閉卷考	c=1 d=1 t=13392
bi kai 	避開	c=1 d=1 t=488128
bi kou 	閉口	c=1 d=1 t=718213
bi lei 	壁壘	c=4 d=1 t=449833
bi li 	比例	c=170 d=1 t=743408
bi men 	閉門	c=3 d=1.53794 t=543743
bi men zao che 	閉門造車	c=1 d=1 t=270480
bi mian 	避免	c=220 d=1.00029 t=741315
bi ming 	筆名	c=1 d=1 t=497843
bi mo 	筆墨	c=1 d=1 t=720922
bi na ji 	比那機	c=1 d=1 t=15917
bi ni 	比你	c=1 d=1 t=171405
bi qi 	比起	c=1 d=1 t=15733
bi ran 	必然	c=19 d=1 t=733139
bi ran hui 	必然會	c=1 d=1 t=272081
bi ran yao 	必然要	c=2 d=1 t=623107
bi ren 	逼人	c=2 d=1 t=691246
bi ri 	蔽日	c=2 d=1 t=530315
bi ru 	比如	c=872 d=1.82118 t=743555
bi ru zai 	比如在	c=1 d=1 t=421330
bi sai 	比賽	c=6 d=1 t=196745
bi sheng 	必勝	c=31 d=1 t=634704
bi shi 	筆試	c=5 d=1 t=695772
bi shi 	鄙視	c=1 d=1 t=131800
bi shu 	筆數	c=1 d=1 t=521430
bi shui 	避稅	c=2 d=1 t=126793
bi ta 	比他	c=1 d=1 t=42932
bi tian 	必填	c=1 d=1 t=206416
bi wo 	比我	c=6 d=1 t=520159
bi wo men 	比我們	c=3 d=1 t=310197
bi xu 	必須	c=115 d=1.75195 t=709412
bi xu pin 	必需品	c=1 d=1 t=154067
bi xu yao 	必須要	c=2 d=1 t=210860
bi xuan 	必選	c=4 d=1.94176 t=740401
bi yao 	必要	c=94 d=1 t=739009
bi yao xing 	必要性	c=6 d=1.00003 t=698615
bi ye 	畢業	c=192 d=1 t=722415
bi ye sheng 	畢業生	c=2 d=1 t=464605
bi ye yu 	畢業於	c=20 d=1 t=506861
bi ye zheng 	畢業證	c=5 d=1 t=456893
bi ye zheng shu 	畢業證書	c=1 d=1 t=249741
bi yi 	比翼	c=1 d=1 t=132039
bi yu 	比喻	c=4 d=1 t=312138
bi yu 	碧玉	c=2 d=0.1 t=614309
bi yu lan ting 	碧玉瀾庭	c=2 d=1 t=658489
bi yuan 	弊源	c=1 d=1 t=50423
bi yun ri 	避孕日	c=1 d=1 t=169655
bi zhe 	筆者	c=1 d=1 t=614943
bi zhe 	閉着	c=2 d=1 t=726824
bi zhi 	壁紙	c=1 d=1 t=87991
bi zhong 	比重	c=5 d=1 t=593696
bi zhong jiu qing 	避重就輕	c=1 d=1 t=277767
bi zi 	鼻子	c=3 d=1.00002 t=595468
bi zu 	鼻祖	c=1 d=1 t=300364
bi zui 	閉嘴	c=2 d=1.96561 t=15879
bian 	編	c=3 d=1 t=487334
bian 	變	c=17 d=1 t=726348
bian 	邊	c=10 d=1 t=736885
bian ceng 	便層	c=1 d=1 t=656520
bian cha 	變差	c=1 d=1 t=312132
bian chang 	變長	c=1 d=1 t=726236
bian cheng 	編程	c=20 d=1 t=698222
bian cheng 	變成	c=30 d=1.11418 t=741881
bian chi 	邊喫	c=1 d=1 t=9064
bian da 	變大	c=7 d=1 t=625615
bian dan 	變淡	c=2 d=1 t=592542
bian de 	變的	c=4 d=1 t=726334
bian di 	貶低	c=4 d=1 t=356693
bian di kai hua 	遍地開花	c=1 d=1 t=356695
bian dong 	變動	c=68 d=2.06999 t=742253
bian dong fei chang 	變動非常	c=1 d=1 t=566518
bian duo 	變多	c=1 d=1 t=325272
bian gao 	變高	c=1 d=1 t=605341
bian ge 	變革	c=15 d=1 t=740710
bian gen 	便跟	c=1 d=1 t=542722
bian geng 	變更	c=95 d=1.44264 t=744679
bian guo 	變過	c=1 d=1 t=256901
bian ha 	便哈	c=2 d=1 t=549930
bian hao 	編號	c=2 d=1 t=353178
bian hua 	變化	c=278 d=1.65705 t=743239
bian huan 	變換	c=8 d=1 t=734727
bian ji 	編輯	c=86 d=1 t=739503
bian ji duan 	編輯端	c=1 d=1 t=246051
bian ji qi 	編輯器	c=132 d=0.1 t=744334
bian jie 	便捷	c=8 d=1 t=643471
bian jie 	變節	c=2 d=1 t=256683
bian jie 	邊界	c=42 d=1 t=718191
bian kan 	邊看	c=2 d=1.98511 t=319719
bian le 	變了	c=6 d=1 t=741429
bian li 	便利	c=15 d=1 t=721367
bian li 	遍歷	c=34 d=1.56553 t=721368
bian li dian 	便利店	c=1 d=1 t=588688
bian li feng 	便利峰	c=2 d=1.86502 t=321058
bian li xing 	便利性	c=1 d=1 t=96420
bian liang 	變量	c=64 d=1 t=741831
bian liang ming 	變量名	c=2 d=1 t=738569
bian liang zu 	變兩組	c=1 d=1 t=567435
bian lun 	辯論	c=1 d=1 t=280051
bian lv 	變綠	c=5 d=1 t=580518
bian ma 	編碼	c=32 d=1 t=676455
bian man 	變慢	c=1 d=1 t=184854
bian neng 	便能	c=0 d=0.1 t=584755
bian neng pei ni pao 	便能陪你跑	c=1 d=1 t=584756
bian pai 	編排	c=44 d=1 t=724955
bian ping 	扁平	c=1 d=1 t=459556
bian ping hua 	扁平化	c=4 d=2.63893 t=459610
bian qi 	便器	c=1 d=1 t=678314
bian shao 	變少	c=2 d=1 t=462605
bian shi 	鞭屍	c=1 d=1 t=562732
bian tai 	變態	c=1 d=1 t=432289
bian ti 	變體	c=2 d=1 t=312080
bian xian 	變現	c=2 d=1.47951 t=629653
bian xie 	編寫	c=7 d=1 t=522273
bian xing 	變形	c=2 d=1 t=737872
bian yi 	便宜	c=57 d=1.00919 t=725107
bian yi 	編譯	c=214 d=1 t=743978
bian yi bao cuo 	編譯報錯	c=1 d=1 t=365780
bian yi cheng 	編譯成	c=7 d=1 t=744276
bian yi hao 	便宜好	c=1 d=1 t=114971
bian yi qi 	編譯器	c=16 d=1 t=672878
bian yu 	便於	c=5 d=1 t=718005
bian yuan 	邊緣	c=43 d=2.31633 t=718008
bian zhi 	編制	c=3 d=1 t=532378
bian zhong 	變種	c=4 d=1 t=556971
biao 	彪	c=1 d=1 t=544417
biao 	標	c=19 d=1 t=645534
biao 	表	c=22 d=0.1 t=737483
biao a 	表啊	c=1 d=1 t=311558
biao bai 	表白	c=1 d=1 t=275638
biao da 	表達	c=102 d=1 t=741715
biao da guo 	表達過	c=4 d=1 t=481880
biao da shi 	表達式	c=5 d=1.00077 t=712501
biao dan 	表單	c=75 d=1 t=743886
biao dan ye mian 	表單頁面	c=1 d=1 t=441391
biao dian 	標點	c=2 d=1 t=656494
biao gan 	標杆	c=5 d=1 t=569949
biao ge 	表個	c=1 d=1 t=23110
biao ge 	表格	c=72 d=1.01828 t=740699
biao ji 	標記	c=29 d=1 t=729810
biao ji hao 	標記好	c=1 d=1 t=24100
biao ji wei 	標記爲	c=1 d=1 t=715935
biao jue quan 	表決權	c=2 d=1 t=632857
biao mian 	表面	c=1 d=1 t=654646
biao ming 	表明	c=2 d=1 t=465464
biao pin 	標品	c=8 d=1.89583 t=633503
biao qian 	標籤	c=16 d=1 t=738116
biao qing 	表情	c=2 d=1 t=728856
biao shi 	標識	c=5 d=1 t=532938
biao shi 	表示	c=13 d=1 t=669274
biao shu 	標書	c=1 d=1 t=388925
biao shu 	表述	c=19 d=1.00001 t=712239
biao shuai 	表率	c=3 d=1 t=631679
biao tai 	表態	c=3 d=1 t=658076
biao ti 	標題	c=52 d=1.00287 t=740084
biao xi na 	表吸納	c=1 d=1 t=737484
biao xian 	表現	c=60 d=1.00025 t=739142
biao xian chu 	表現出	c=1 d=1 t=726764
biao xian li 	表現力	c=1 d=1 t=42226
biao xiang 	表象	c=4 d=1 t=572173
biao yan 	表演	c=1 d=1 t=611669
biao yang 	表揚	c=2 d=1 t=434412
biao zhang 	表彰	c=1 d=1 t=595222
biao zhang 	飆漲	c=1 d=1 t=317842
biao zhi 	標誌	c=4 d=1 t=670535
biao zhu 	標註	c=13 d=1 t=720161
biao zhu hao 	標註好	c=2 d=1 t=718629
biao zhuan 	標磚	c=2 d=1 t=612243
biao zhun 	標準	c=223 d=4.52099 t=737325
biao zhun ban 	標準版	c=2 d=1.99501 t=331047
biao zhun hua 	標準化	c=41 d=1.6371 t=653464
biao zhun ku 	標準庫	c=3 d=1 t=611982
biao zhun shi 	標準時	c=1 d=1 t=470375
biao zun 	表尊	c=2 d=1 t=500798
bie 	別	c=229 d=1.13534 t=741926
bie 	憋	c=3 d=1.97045 t=736031
bie ba 	別把	c=3 d=1 t=543194
bie che 	別扯	c=1 d=1 t=448266
bie deng le 	別等了	c=1 d=1 t=509889
bie gai 	別改	c=2 d=1 t=492736
bie gan 	別幹	c=1 d=1 t=169005
bie gao 	別搞	c=1 d=1 t=123821
bie gei 	別給	c=2 d=1 t=235231
bie gei wo 	別給我	c=1 d=1 t=53493
bie guai 	別怪	c=0 d=0.1 t=700544
bie guai wo 	別怪我	c=1 d=1 t=700545
bie guan 	別管	c=2 d=1 t=314232
bie huan 	別換	c=2 d=1.99501 t=352064
bie ji 	別急	c=2 d=1 t=373036
bie kan 	別看	c=1 d=1 t=509419
bie la 	別啦	c=1 d=1 t=697152
bie lai 	別來	c=1 d=1 t=451480
bie li 	別離	c=0 d=0.1 t=457205
bie li ta 	別離他	c=1 d=1 t=457206
bie ming 	別名	c=4 d=1 t=347939
bie nao 	別鬧	c=3 d=1 t=709560
bie niu 	彆扭	c=10 d=1 t=738991
bie pao 	別跑	c=1 d=1 t=699128
bie qu 	憋屈	c=1 d=1 t=63814
bie ren 	別人	c=30 d=1 t=745214
bie shu 	別墅	c=1 d=1 t=670541
bie shuo 	別說	c=6 d=1 t=599321
bie shuo le 	別說了	c=1 d=1 t=128492
bie ti 	別提	c=2 d=1 t=600209
bie wang ji 	別忘記	c=2 d=1 t=707795
bie xiang 	別想	c=1 d=1 t=19023
bie yong 	別用	c=12 d=1 t=716020
bie you 	別有	c=3 d=1 t=524155
bie zai 	別再	c=1 d=1 t=736024
bie zhao wo 	別找我	c=1 d=1 t=114065
bie zhi 	別隻	c=1 d=1 t=448292
bin 	彬	c=14 d=1 t=533113
bin 	斌	c=68 d=1.1678 t=576212
bin 	賓	c=2 d=1 t=640418
bin bu shi 	斌不是	c=1 d=1 t=484700
bin guan 	賓館	c=2 d=1 t=627962
bin jiang 	濱江	c=2 d=1.99501 t=156967
bin zhou 	賓州	c=1 d=1 t=230903
bing 	並	c=24 d=1 t=740927
bing 	兵	c=30 d=1 t=740926
bing 	冰	c=3 d=1.98511 t=648259
bing 	炳	c=1 d=1 t=512640
bing 	病	c=2 d=1 t=480610
bing 	餅	c=3 d=1 t=412708
bing bing 	冰冰	c=2 d=1 t=301313
bing bu 	並不	c=49 d=1.00013 t=738821
bing bu bao 	並不報	c=1 d=1 t=285028
bing bu bao han 	並不包含	c=1 d=1 t=401966
bing bu chong tu 	並不衝突	c=3 d=1 t=669525
bing bu da 	並不大	c=3 d=1 t=720201
bing bu duo 	並不多	c=8 d=1 t=571556
bing bu gao 	並不高	c=6 d=1 t=743445
bing bu hao 	並不好	c=3 d=1 t=284737
bing bu hao zuo 	並不好做	c=1 d=1 t=112510
bing bu hui 	並不會	c=9 d=1 t=698999
bing bu jian de 	並不見得	c=1 d=1 t=284262
bing bu kuai 	並不快	c=1 d=1 t=716443
bing bu nan 	並不難	c=1 d=1 t=177343
bing bu neng 	並不能	c=10 d=1 t=688694
bing bu qi 	並不起	c=1 d=1 t=78981
bing bu qing chu 	並不清楚	c=3 d=1 t=731488
bing bu qing xi 	並不清晰	c=1 d=1 t=470403
bing bu que 	並不缺	c=1 d=1 t=205288
bing bu se 	並不色	c=1 d=1 t=136936
bing bu shi 	並不是	c=297 d=1.00564 t=744687
bing bu shi hen gao 	並不是很高	c=2 d=1 t=168055
bing bu shi tai hao 	並不是太好	c=1 d=1 t=630375
bing bu shu 	並不書	c=2 d=1 t=522387
bing bu shu xi 	並不熟悉	c=1 d=1 t=490790
bing bu shu yu 	並不屬於	c=1 d=1 t=531534
bing bu su 	並不素	c=1 d=1 t=512461
bing bu suan 	並不算	c=2 d=1 t=694094
bing bu suan shi 	並不算是	c=1 d=1 t=236147
bing bu tai 	並不太	c=53 d=1 t=708248
bing bu tai da 	並不太大	c=1 d=1 t=689270
bing bu tai duo 	並不太多	c=2 d=1 t=476960
bing bu tai gao 	並不太高	c=1 d=1 t=191414
bing bu tai hao 	並不太好	c=10 d=1 t=609459
bing bu ti hao 	並不題號	c=1 d=1 t=521456
bing bu xiang 	並不想	c=2 d=1 t=479913
bing bu xu yao 	並不需要	c=18 d=1 t=738607
bing bu yi ding 	並不一定	c=2 d=1 t=555788
bing bu yi yang 	並不一樣	c=2 d=1 t=508354
bing bu zai 	並不在	c=3 d=1 t=742531
bing bu zhi chi 	並不支持	c=1 d=1 t=518715
bing bu zhi dao 	並不知道	c=6 d=1 t=580587
bing bu zhi xiao 	並不知曉	c=2 d=1.51171 t=90229
bing chi 	秉持	c=2 d=1 t=446204
bing chuang 	病牀	c=1 d=1 t=602877
bing cun 	並存	c=6 d=1 t=642269
bing du 	病毒	c=4 d=1.97531 t=601233
bing fa 	併發	c=10 d=1 t=687805
bing fa du 	併發度	c=1 d=1 t=181175
bing fang 	病房	c=2 d=1.92312 t=597759
bing fei 	並非	c=1 d=1 t=717775
bing jie tu 	並截圖	c=1 d=1 t=436373
bing ju 	病句	c=1 d=1 t=283795
bing le 	病了	c=2 d=1.91393 t=428876
bing li 	病例	c=3 d=1.14588 t=663794
bing lie 	並列	c=4 d=1 t=519801
bing mei 	並沒	c=1 d=1 t=484787
bing mei you 	並沒有	c=192 d=1.9802 t=743334
bing qi 	兵器	c=1 d=1 t=242062
bing qiang ma zhuang 	兵強馬壯	c=1 d=1 t=78913
bing qie 	並且	c=73 d=1 t=717648
bing qie er 	並且兒	c=1 d=1 t=89744
bing qing 	病情	c=2 d=1 t=440140
bing ru 	併入	c=2 d=1 t=738403
bing shan 	冰山	c=4 d=2.20683 t=338473
bing shi he 	並適合	c=1 d=1 t=454056
bing shu li 	並梳理	c=1 d=1 t=228523
bing tu 	並圖	c=1 d=1 t=43247
bing tu 	餅圖	c=1 d=1 t=43248
bing wan cheng 	並完成	c=1 d=1 t=403920
bing wu 	並無	c=2 d=1 t=733725
bing xiang 	冰箱	c=2 d=1 t=636908
bing xing 	並行	c=25 d=1 t=702628
bing xing hua 	并行化	c=3 d=1 t=733716
bing yi 	兵役	c=2 d=1 t=544421
bo 	伯	c=15 d=1 t=570603
bo 	博	c=5 d=1 t=384898
bo 	撥	c=14 d=1 t=449359
bo 	泊	c=1 d=1 t=21947
bo 	波	c=20 d=1 t=622407
bo 	簿	c=1 d=1 t=381243
bo 	薄	c=1 d=1 t=516536
bo bu tong 	拨不通	c=1 d=1 t=110426
bo ce 	撥測	c=4 d=1 t=595794
bo da 	撥打	c=1 d=1 t=613608
bo ding 	波定	c=1 d=1 t=493287
bo dong 	波動	c=22 d=1.00447 t=735218
bo e 	薄惡	c=1 d=1 t=438014
bo fang 	播放	c=8 d=1.9802 t=670554
bo fang qi 	播放器	c=12 d=1.85214 t=740521
bo feng 	波峯	c=3 d=1 t=654816
bo gu 	波谷	c=1 d=1 t=611853
bo guo 	波國	c=0 d=0.1 t=5863
bo guo lai 	伯過來	c=4 d=1 t=329433
bo guo lai 	撥過來	c=8 d=1 t=646197
bo guo lai ba 	撥過來吧	c=1 d=1 t=602050
bo guo qu 	撥過去	c=60 d=1 t=731316
bo guo qu 	波國去	c=1 d=1 t=5864
bo guo qu o 	撥過去哦	c=1 d=1 t=203172
bo hui 	駁回	c=3 d=1 t=654563
bo ji 	波及	c=2 d=1 t=740503
bo jin 	鉑金	c=1 d=1 t=7762
bo jin lai 	撥進來	c=1 d=1 t=439002
bo ke 	博客	c=8 d=1 t=208689
bo ke 	播客	c=1 d=1 t=31557
bo lan 	博覽	c=1 d=1 t=614201
bo li 	剝離	c=14 d=1 t=715742
bo li 	玻璃	c=4 d=1 t=642911
bo lin 	柏林	c=1 d=1 t=343154
bo luan fan zheng 	撥亂反正	c=1 d=1 t=661118
bo qi 	勃起	c=1 d=1 t=428776
bo ruo 	薄弱	c=10 d=1 t=617220
bo shi 	博士	c=15 d=0.1 t=574298
bo shi dun 	波士頓	c=2 d=1 t=506912
bo shi me 	博士麼	c=1 d=1 t=574299
bo wen 	博文	c=3 d=1 t=318578
bu 	不	c=3416 d=2.36493 t=745174
bu 	埠	c=1 d=1 t=376430
bu 	布	c=1 d=1 t=9767
bu 	部	c=1 d=1 t=691208
bu 	阜	c=2 d=1.99501 t=249530
bu a ti 	不啊提	c=2 d=1 t=239122
bu an fen 	不安分	c=1 d=1 t=360876
bu an quan 	不安全	c=1 d=1 t=17813
bu ao zhun 	不奧準	c=1 d=1 t=526923
bu ban 	補辦	c=9 d=1 t=614004
bu bao han 	不包含	c=1 d=1 t=743475
bu bao kuo 	不包括	c=3 d=1 t=478425
bu bao zheng 	不保證	c=1 d=1 t=326379
bu bei 	不被	c=1 d=1 t=548755
bu bi 	不必	c=1 d=0.1 t=476007
bu bi yao 	不必要	c=5 d=1 t=659002
bu bian 	不便	c=1 d=1 t=434327
bu bian 	不變	c=54 d=1 t=718663
bu bian hua 	不變化	c=1 d=1 t=393621
bu bu bu 	不不不	c=1 d=1 t=202151
bu ca hou guo 	不擦後果	c=1 d=1 t=376326
bu can yu 	不參與	c=1 d=1 t=188276
bu ce 	不測	c=1 d=1 t=583712
bu cha 	不差	c=3 d=1 t=605926
bu cha qian 	不差錢	c=1 d=1 t=360888
bu chang 	不長	c=4 d=1 t=607589
bu chang 	補償	c=9 d=1 t=607588
bu chang na ge 	補償那個	c=1 d=1 t=518444
bu chang xie yi 	補償協議	c=1 d=1 t=249695
bu cheng 	不成	c=0 d=0.1 t=683781
bu cheng gong 	不成功	c=1 d=1 t=301322
bu cheng li 	不成立	c=1 d=1 t=329074
bu cheng ren 	不承認	c=2 d=1 t=397526
bu cheng zheng bi 	不成正比	c=1 d=1 t=44158
bu chi fan 	不喫飯	c=1 d=1 t=583695
bu chong 	補充	c=647 d=1.0252 t=744704
bu chong ba 	補充吧	c=1 d=1 t=709648
bu chong cong 	補充從	c=1 d=1 t=638806
bu chong dao 	補充到	c=1 d=1 t=364345
bu chong hao 	不重好	c=7 d=1 t=732126
bu chong hao le 	補充好了	c=8 d=1 t=744481
bu chong shang 	補充上	c=14 d=1.0296 t=731291
bu chong shu 	補充書	c=1 d=1 t=631280
bu chong tu 	不衝突	c=1 d=1 t=258831
bu chong yi ge 	補充一個	c=1 d=1 t=126541
bu chou 	不愁	c=1 d=1 t=522012
bu chu 	不出	c=3 d=0.1 t=426620
bu chu lai 	不出來	c=6 d=1 t=620932
bu chu li 	不處理	c=1 d=1 t=491331
bu chun 	不純	c=1 d=1 t=163997
bu cong 	不從	c=5 d=1 t=734851
bu cu 	不粗	c=4 d=1.73345 t=693975
bu cun zai 	不存在	c=6 d=1 t=704601
bu cuo 	不錯	c=324 d=1 t=745185
bu da 	不大	c=153 d=1 t=740593
bu da ba 	不大吧	c=1 d=1 t=537289
bu da biao 	不達標	c=2 d=1 t=430369
bu da bu xiang si 	不大不相似	c=1 d=1 t=537742
bu da suan 	不打算	c=1 d=1 t=664862
bu dai 	不帶	c=4 d=1 t=556715
bu dai biao 	不代表	c=1 d=1 t=666358
bu dai ren 	不帶人	c=1 d=1 t=398387
bu dan xin 	不擔心	c=1 d=1 t=118894
bu dang 	不當	c=6 d=1 t=670446
bu dao 	不到	c=51 d=1.80252 t=742311
bu dao 	佈道	c=7 d=1 t=593447
bu dao 	步道	c=2 d=1 t=313335
bu dao ren 	不到人	c=1 d=0.1 t=276878
bu dao wei 	不到位	c=9 d=1 t=662988
bu dao wo 	不到我	c=1 d=1 t=56069
bu de 	不得	c=1 d=0.1 t=689956
bu de bu 	不得不	c=1 d=1 t=485173
bu de bu shuo 	不得不說	c=1 d=1 t=541664
bu de yi 	不得已	c=0 d=0.1 t=145793
bu deng 	不等	c=3 d=1 t=517828
bu deng yu 	不等於	c=2 d=1 t=460691
bu di 	不低	c=1 d=1 t=731043
bu diao 	不掉	c=1 d=1 t=195916
bu diao 	步調	c=4 d=2.91209 t=696863
bu ding 	不定	c=5 d=1 t=687650
bu ding 	補丁	c=4 d=1 t=491213
bu ding qi 	不定期	c=4 d=1 t=616583
bu dong 	不動	c=10 d=1 t=635124
bu dong 	不懂	c=33 d=1 t=729458
bu dong chan 	不動產	c=1 d=1 t=732608
bu dong ya 	不懂呀	c=1 d=0.1 t=707749
bu dong zhuang dong 	不懂裝懂	c=1 d=1 t=341544
bu dou 	不鬥	c=2 d=1 t=515195
bu dou shi 	不都是	c=13 d=1 t=734976
bu dou yao 	不都要	c=1 d=1 t=113535
bu duan 	不斷	c=8 d=1 t=738000
bu duan 	不短	c=1 d=1 t=587737
bu duan ti gao 	不斷提高	c=1 d=1 t=464331
bu dui 	不對	c=71 d=1 t=709735
bu dui 	部隊	c=1 d=1 t=122555
bu dui chen 	不對稱	c=1 d=1 t=631838
bu dui kou 	不對口	c=1 d=1 t=283786
bu dui le 	不對了	c=1 d=1 t=247740
bu dui wai 	不對外	c=1 d=1 t=177491
bu duo 	不多	c=89 d=1 t=737005
bu eng ni 	不嗯你	c=1 d=1 t=199211
bu er fa men 	不二法門	c=1 d=1 t=373925
bu er nuo 	布爾諾	c=0 d=0.1 t=126949
bu er nuo na ge 	布爾諾那個	c=2 d=1 t=341803
bu fa 	不發	c=1 d=1 t=89096
bu fa 	步伐	c=5 d=1 t=544155
bu fan dui 	不反對	c=1 d=1 t=57197
bu fang 	不妨	c=2 d=0.1 t=696387
bu fang 	不放	c=2 d=1 t=543200
bu fang ba 	不妨把	c=1 d=1 t=696388
bu fang bian 	不方便	c=29 d=1 t=729406
bu fang ren 	不放人	c=1 d=1 t=141715
bu fen 	不分	c=1 d=1 t=426662
bu fen 	部分	c=263 d=1.00006 t=744660
bu fen e mo 	部分惡魔	c=4 d=1 t=693770
bu fen ne 	部分呢	c=2 d=1 t=551857
bu fen nei rong 	部分內容	c=1 d=1 t=483972
bu fen ren 	部分人	c=1 d=1 t=709653
bu fen shu ju 	部分數據	c=1 d=1 t=718566
bu fen zai 	部分在	c=1 d=1 t=685703
bu fen zhi yi 	部分之一	c=2 d=1 t=441094
